Company_name,Rating,NumberOfUserReview,Type,Location,Region
"CISF UNIT , DTPS.",3.9,111,Corporate office,Maya Bazar,Durgapur
Great Eastern Trading Co Durgapur,4,439,Appliance store,Benachiti Road Opp. Honda Showroom Durgapur,Durgapur
"Fortune Park Pushpanjali, Durgapur - Member ITC's hotel group",4.6,"2,375",4-star hotel,,Durgapur
Shree Durga Steels,4.6,12,Iron & Steel Store,,Durgapur
Durgapur Municipal Corporation,3.7,110,Municipal Corporation,"G7PW+J72, Grand Trunk Rd, Near Bus Stand",Durgapur
Pradip Jewellers,5,1,Jewelry store,,Durgapur
Aquapolis Residential Complex,4.3,194,Apartment complex,,Durgapur
Dilip Cycle Stores,4.2,191,Bicycle Shop,,Durgapur
Louis Philippe,4.3,27,Men's clothing store,"Shop #FF25, Mouza",Durgapur
City Plaza,4,69,Cosmetics store,,Durgapur
CSIR-Central Mechanical Engineering Research Institute,4.6,250,Research institute,"Mahatma Gandhi Rd, opposite NIT",Durgapur
Bandbox,4.2,9,Dry cleaner,,Durgapur
Webel It Park,,,,,Durgapur
ALPS RESIDENCY,4.1,100,Apartment complex,,Durgapur
Titan World,4.6,"1,854",Watch store,"Ground Floor, Shahid Khudiram Sarani, opposite Pushpanjali Building",Durgapur
Arrowsoft,4.4,39,Computer store,,Durgapur
Paramounts Food Garden,4.2,169,Cake shop,G953+X8C,Durgapur
DREAM INDIA HOLIDAYS,3.8,85,Tour operator,,Durgapur
Hotel Luxor,3.9,671,3-star hotel,,Durgapur
"NSHM Knowledge Campus, Durgapur",3.9,747,Educational institution,"Via Muchipara Arrah, Shibtala Rd",Durgapur
Chaturango Maidan,4.4,"1,654",Fairground,,Durgapur
Junction Mall,4.4,"31,573",Shopping mall,,Durgapur
Bengal College of Polytechnic,4.3,285,Polytechnic College,"G8CR+6JH, Sahid Sukumar Banerjee Sarani",Durgapur
Reliance SMART Bazaar,4,461,Hypermarket,"Dreamplex Complex, Abanindra Bithi",Durgapur
Durgapur Bus stand,4.1,"1,098",Bus ticket agency,,Durgapur
Hotel Delta Suites,4.2,"1,879",3-star hotel,,Durgapur
SHANKAR NIWAS,3.5,10,Villa,,Durgapur
Rajlakshmi Jewellers Gold Pvt Ltd,3.9,203,Jewelry store,"H76H+Q8G, Balai Commercial Complex, Ananda Gopal Mukherjee Sarani Rd",Durgapur
Durgapur City Center,4.4,"10,840",Shopping mall,,Durgapur
PURNIMA RESIDENCY,4.4,21,Apartment building,,Durgapur
HP PETROL PUMP - DURGAPUR HIGHWAY SERVICE,4,154,Petrol Pump,,Durgapur
Samsung SmartCafé (Akshara Sam),4,148,Cell phone store,"Bengal Shrishti, Shop No B 101/A, Kalpataru Building",Durgapur
"Tata Motors Cars Showroom - Chandrani, Durgapur",4.3,240,Car dealer,Holding No 1/N Mritunjoy Housing Colony,Durgapur
Nalanda Fortune Park,4,372,Real estate agency,,Durgapur
Zebronics Service Center,3.9,46,Office supply store,"H75G+HF9, Opp Chamber of commerce Shweat Barani Bhawan",Durgapur
Morvee Hotels Durgapur,4.4,314,Hotel,,Durgapur
Ta-Tin Hotel,3.5,601,Hotel,,Durgapur
