Company_name,ration,user_review,Type,region
Chandra Engineers,4.7,-22.0,Mechanical engineer,durgapur
Bijoy Business Solution and Services Pvt. Ltd.,,,Software company,durgapur
National Institute of Fire Safety Engineering NIFSE Durgapur,4.7,-26.0,Fire fighters academy,durgapur
NATIONAL DIAGNOSTIC,,,Diagnostic center,durgapur
Ruhr (रूढ़) Ispat Pvt Ltd,3.1,-7.0,Manufacturer,durgapur
National Travels durgapur,4.7,-3.0,Travel agency,durgapur
DSP Main Gate,4.7,-16.0,Manufacturer,durgapur
National Electronics,3.1,-8.0,Electronics store,durgapur
National Fire Service and Engineers,3.7,-3.0,Fire protection service,durgapur
Recolian Technological Solutions LLP,,,Oxygen equipment supplier,durgapur
Shyam Steel Industries Ltd.,4.2,-121.0,Iron & Steel Industry,durgapur
National Electronics,4.0,-24.0,Electronics store,durgapur
Alloy Steels Plant,4.3,-67.0,Manufacturer,durgapur
INFUNO,4.7,-11.0,Medical technology manufacturer,durgapur
The Oriental Insurance Company Ltd.,1.0,-1.0,Insurance company,durgapur
Future Generali India Life Insurance Co. Ltd,4.4,-50.0,Insurance company,durgapur
Anil Packers & Movers Private Limited,5.0,-6.0,Packaging company,durgapur
Max Life Insurance Co. Ltd.,3.8,-83.0,Insurance company,durgapur
Apex Global Services,4.8,-12.0,Website designer,durgapur
Durgapur Steel Thermal Power Station,4.3,-116.0,Power station,durgapur
Future Group Of Company,4.0,-4.0,Security service,durgapur
Property Sealer,,,Real estate appraiser,durgapur
"Khosla Electronics, Durgapur",4.7,-641.0,Electronics store,durgapur
Durgapur-5,,,Housing society,durgapur
Income Tax Commissioner,4.3,-4.0,Government office,durgapur
Unique Procon Pvt.Ltd.,4.2,-34.0,Real estate agency,durgapur
KMC & COMPANY,5.0,-4.0,Corporate office,durgapur
cityunbox,4.7,-42.0,E-commerce service,durgapur
Innovadores - Where Quality Matter Most,4.8,-47.0,Event management company,durgapur
Webel IT PARK - Durgapur,4.2,-566.0,Corporate office,durgapur
Jio Center - Durgapur,3.7,-313.0,Prepaid SIM card store,durgapur
The Computer solution,,,Wholesaler,durgapur
The Oriental Insurance Company Ltd.,,,Insurance company,durgapur
SS Solution | Durgapur,3.6,-52.0,Corporate office,durgapur
Tegiya tyre sarvies,,,Tyre manufacturer,durgapur
National Hydroelectric Power Corporation,5.0,-1.0,Power station,kolkata
National Insurance Salt Lake Division,5.0,-9.0,Insurance company,kolkata
Nicco Engineering Services Limited,4.6,-16.0,Mechanical engineer,kolkata
Indian National Drug Company Private Limited,2.0,-4.0,Pharmaceutical company,kolkata
NATIONAL MANUFACTURING COMPANY,,,Bearing supplier,kolkata
Medequip Healthcare Solutions LLP,1.0,-1.0,Medical Equipment Manufacturer,kolkata
National Trading Co.,5.0,-2.0,Manufacturer,kolkata
National india,,,Packaging company,kolkata
Electrical Room,,,Power station,kolkata
The National Engineering Co,,,Manufacturer,kolkata
National Trading Company,4.2,-5.0,PVC industry,kolkata
