company_name,company_type,Location,review,no_user_review
LabVantage Solutions Private Limited,Software company,"Salt Lake Electronics Complex, Bengal Intelligent Park, Building ‘Omega’, 17th Floor, North Wing Block-EP & GP",4.8,-63
Bit Wave Solutions Pvt Ltd,Software company,"Unit 602, Shaila Towers, J-1/16, EP & GP Block, Sector- V, Electronics Complex, Salt Lake,, Block EP J-1/16, Sector-V, Salt Lake",4.1,-27
ARB Software India Pvt Limited,Software company,"Plot Y, 7",3.8,-727
Branium Information Technologies Pvt. Ltd.,Software company,"EP 60 Block, Sector V, Salt Lake City",4.3,-59
Fi-Tek,Software company,"10th Floor, Omega Tower, GP Block, Sector V, Salt Lake",3.9,-35
Uniwide Consultancy & Services,Software company,"3rd Floor, Module 415, SDF Building, 418",3.8,-5
"LabWare Limited, India Branch",Software company,JDS House,4.9,-12
"Abzooba Inc: Top AI, Data Science, Machine Learning, Data Analytics Company",Software company,"10th Floor, Infinity Benchmark",4.5,-48
Wipro Limited,Software company,"1, 7, 8 & 9, Street No. 13",4.4,"-4,085"
ADA Software Re Engineering Services,Software company,"AQ-7, 8th. Floor, Sector-V, Saltlake City",3.9,-34
Net Guru Private Limited,Software company,Street Number 30,3.3,-486
La Exactlly Software Private Limited,Software company,"SDF Building 4th Floor, Module 515",4.3,-3
AMB Computer Integrated Engineering,Software company,"Module 208, SDF Building",4.4,-10
Genpact,Software company,"6th Asyst Park GN 37, 1, Street Number 17",3.7,-360
Uniwide Logistics Multinational Limited,Logistics service,"SDF Building, Module No. 415, 3rd Floor",4.9,-16
"Bizzmanweb | Mobile App Development, E-commerce & ERP Consulting Company in Kolkata, India",Software company,"EN 62, Ice King Building, 2nd Floor Bidhannagar, Salt Lake",4.8,-32
Wipro Tower 3,Software company,DN - 57,4.1,-50
Experis™ India Pvt. Ltd,Software company,"Block GP . Plot J3, Sector V, Salt Lake City",3.6,-94
JD Omni,Software company,"No: 703, Tower One, GODREJ WATERSIDE",,
Globsyn Technologies Ltd,Software company,11 & 12,2.5,-11
Xplore-Tech Services Pvt. Ltd.,BPO Company,Plot-Y9,3.7,-152
Vishesh Group,Automation company,"4th Floor, Plot J-5, Block EP & GP Systron Building, Sector V, Salt Lake",,
Aegis,BPO Company,"Ep Block Aegis, Ep Block, EP-Y14, Street Number 15",3.4,"-2,041"
TEKNOWLEGION,Software company,"8th Floor, TOWER-1, GODREJ WATERSIDE",,
EssProM,Software company,"Unit No. 803 & 804, 8th Floor, Merlin Matrix, Dn-10",,
Maketick Solutions India Pvt. Ltd.,Software company,"Omega Building, Bengal Intelligent Park, Plot:a2,M2 & N2, Block EP & GP, Sector – 5, Salt Lake Electronics Complex",,
UN Technology,Software company,"Sector - 5, Saltlake",,
Larsen & Toubro Ltd,Real Estate Builders & Construction Company,"11th Floor, Tower - 2, DP-5",4.5,-771
CUG Technology Limited,Software company,"Sector-V, Salt Lake City",,
NRI FT India,Software company,"Salt Lake Electronics Complex, PS Srijan Corporate Park, 22nd Floor, Tower-1",4.4,-166
Buildfusion,Software company,"CG - 79, Salt Lake City, 79",4.7,-10
"Clematis Software Technologies Pvt. Ltd., EP Block, Kolkata, West Bengal",Software company,"Y-5,",4.0,-1
