Company_name,review,no_review,type,region
alstom office,4.1,15,Corporate office,durgapur
Webel IT PARK - Durgapur,4.2,566,Corporate office,durgapur
"R. S. CONSTRUCTION & CO, Head Office",3.5,4,Corporate office,durgapur
Lnt Durgapur,4.3,31,Corporate office,durgapur
"Amul Office,GCMMF LTD, DURGAPUR DEPOT",4.6,9,FMCG Manufacturer,durgapur
Pinnacle Infotech Solutions,4.3,635,Corporate office,durgapur
Suguna office,5.0,4,Corporate office,durgapur
Touchteck Facility Management Services Pvt. Ltd.,5.0,1,Corporate office,durgapur
KMC & COMPANY,5.0,4,Corporate office,durgapur
Future Group of Company (Corporate Office),2.9,12,Security guard service,durgapur
Toolsvilla.com,4.4,"1,727",E - Commerce Agency,durgapur
ColorBracket Technologies LLP,4.4,17,Corporate office,durgapur
"City Centre, Durgapur",4.2,"6,876",Corporate office,durgapur
SS Solution | Durgapur,3.6,52,Corporate office,durgapur
SASP & Associates ( Chartered Accountant),4.7,42,Corporate office,durgapur
l&t workshop with office,4.8,12,Mining equipment,durgapur
AGE Durgapur,,,Corporate office,durgapur
Food Corporation Of India,3.4,14,Government office,durgapur
Shyam Steel Industries Ltd.,4.2,121,Manufacturer,durgapur
Ambey Mining Pvt. Ltd.,4.1,63,Mining company,durgapur
"Office Of The Divisional Manager, WBSEDCL",3.4,7,Corporate office,durgapur
"Zonal Ordanance Factory, CISF DSP DURGAPUR",4.8,4,Electronics store,durgapur
Loombiz Consultancy Pvt Ltd,4.4,"1,448",Corporate office,durgapur
Angel Broking,4.2,5,Corporate office,durgapur
Durgapur Iron & Steel Co. Pvt. Ltd.,3.1,9,Iron & Steel Industry,durgapur
Durgapur Iron & Steel Shop,4.3,35,Iron & Steel Store,durgapur
ICICI Prudential Life Insurance Company Limited,3.6,39,Insurance company,durgapur
SPS Steels Rolling Mills Limited - Structure Mill,3.8,25,Steel construction company,durgapur
"Durgapur Area Office, WBSETCL",2.4,9,Electric utility company,durgapur
SASP & Associates Office.,3.2,5,Corporate office,durgapur
L&T construction & Mining Machinery,4.3,10,Real Estate Builders & Construction Company,durgapur
S.P.S. Steels Rollings Mills Ltd.,3.9,23,Iron & Steel Industry,durgapur
BusyBess Logistics Solutions Pvt. Ltd,3.5,2,Corporate office,durgapur
Future Group Of Company,4.0,4,Security service,durgapur
Neck Down Generation Pvt. Ltd.,4.0,55,BPO Company,durgapur
Indian Oil Corporation Limited,4.3,116,Oil & natural gas company,durgapur
Eureka Forbes Ltd,3.7,3,Water purification company,durgapur
Metcon Power Consultant & Engineers,4.9,11,Corporate office,durgapur
COSTEEL PROCESSING PRIVATE LTD.,3.0,1,Steel fabricator,durgapur
Nippon India Mutual Fund,5.0,21,Investment company,durgapur
Cholamandalam MS General Insurance Company Ltd,3.9,47,Insurance company,durgapur
Kamdhenu,4.5,2,Steel fabricator,durgapur
Durgapur,,,Home automation company,durgapur
"Heartnsoul Soft Private Limited - Website and Mobile App Development Company, India",3.2,43,Software company,durgapur
PAN OFFICE - NSDL DURGAPUR,,,Legal services,durgapur
"CISF UNIT , DTPS.",3.9,111,Corporate office,durgapur
"Durgapur Industrial Park-II, WBSIDC Ltd",,,Government office,durgapur
Code Galaxy,4.4,16,Software company,durgapur
National Insurance Co Ltd,3.9,143,Insurance company,durgapur
BARUI SAFETY MATERIAL SUPPLY,5.0,11,Industrial equipment supplier,durgapur
"Tata Capital- Apply for Commercial & SME Finance Loan, Business Loan and other Loans in Durgapur",3.1,18,Financial consultant,durgapur
Edelweiss Tokio Life Insurance Company Ltd. - Durgapur Branch,3.5,13,Insurance company,durgapur
"WBECSC Ltd., DURGAPUR, PASCHIM BARDHAMAN",4.5,6,District government office,durgapur
Sis India Ltd,4.1,39,Security service,durgapur
Asansol Durgapur Development Authority,3.9,47,State government office,durgapur
Star Health and Allied Insurance Co Ltd,3.6,18,Insurance company,durgapur
IGMI LEAD CONSULTANCY PVT LTD| WEB DEVELOPMENT| SOFTWARE DEVELOPMENT,4.2,42,Website designer,durgapur
SBI Life Insurance Company Limited,4.0,76,Insurance company,durgapur
Future Generali India Life Insurance Co. Ltd,4.4,50,Insurance company,durgapur
